q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Somewhat better,Very bad time,Very bad time,Prices will go up, , ,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Live with someone else and don't pay for housing,Rent, ,About the same vs. twelve months ago,30-34,31,30-34,Single,American Indian or Alaska Native,"Less than $10,000",Female, , ,.489771487370487,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Very difficult,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,35-39,38,35-39,Single,Other (DO NOT READ: include refused here),"$35,000-$49,999",Male, , ,.284049595737437,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go up, ,8,Prices will go up, ,10,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,77,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.512146697157173,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Much better,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go down, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent,Not at all concerned,About the same vs. twelve months ago,45-49,45,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.43150598143515,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Much worse,Somewhat bad time,Very good time,Prices will go up, ,20,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not very concerned,Significantly lower now,45-49,47,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.545921110379175,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will remain about the same,Very difficult,Rent,Rent,Not at all concerned,Significantly lower now,21-24,24,21-24,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Male, , ,1.30336282592741,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,10, ,Prices will go down,10, ,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,80,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.532524706724877,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down, , ,Prices will remain about the same, , ,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,71,70-74,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.216626728797353,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Much worse,Somewhat bad time,Very good time,Prices will go up, ,5,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,75+,78,75+,Married or have an unmarried partner,Don't know VOL,"$50,000-$74,999",Male, , ,.314573439617092,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go down,12, ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,Significantly lower now,40-44,44,40-44,Single,Other (DO NOT READ: include refused here),"$15,000-$24,999",Male, , ,.775617131642603,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go down,5, ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,57,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.286655091295687,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Somewhat worse,Very bad time,Don't know VOL,Prices will remain about the same, , ,Prices will go up, ,8,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,56,55-59,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,1.17481464498367,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Much worse,Somewhat bad time,Somewhat bad time,Prices will go down,8, ,Prices will go up, ,25,Rates will go up,Somewhat difficult,Rent,Rent, ,About the same vs. twelve months ago,65-69,68,65-69,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,.82711383597847,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Somewhat better,Don't know VOL,Don't know VOL,Don't know VOL, , ,Don't know VOL, , ,Don't know VOL,Don't know VOL,Live with someone else and don't pay for housing,Buy, ,Significantly higher now,30-34,30,30-34,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Female, , ,1.00380154135381,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Much better,Somewhat bad time,Somewhat good time,Don't know VOL, , ,Prices will go up, ,8,Rates will remain about the same,Somewhat easy,Rent,Rent,Not very concerned,Significantly higher now,18-20,19,18-20,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$50,000-$74,999",Male, , ,3.88289886182808,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent,Not very concerned,Significantly higher now,35-39,38,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,1.37360321430295,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat good time,Prices will go up, ,20,Prices will go up, ,10,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,70-74,70,70-74,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.545520801655644,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,3,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Not very concerned,Significantly higher now,25-29,27,25-29,Married or have an unmarried partner,Other (DO NOT READ: include refused here),"$50,000-$74,999",Don't Know, , ,1.76921157871894,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Much better,Don't know VOL,Very good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will remain about the same,Very difficult,Own your home outright and do not have any debt on it,Don't know VOL, ,Significantly lower now,30-34,32,30-34,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Male, , ,.824415845950964,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Wrong track,Stay about the same,Very bad time,Very bad time,Prices will go down,20, ,Prices will go up, ,25,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,75,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.393299518671799,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Don't know VOL,Stay about the same,Very bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,30,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly higher now,75+,79,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.650200144063647,Jun-2022 (26724),Division 8,Arizona,Arizona,General Population
Right track,Much better,Very bad time,Somewhat good time,Prices will go up, , ,Prices will remain about the same, , ,Rates will remain about the same,Somewhat difficult,Rent,Rent, ,About the same vs. twelve months ago,40-44,40,40-44,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Male, , ,.730122715993989,Jun-2022 (26724),Division 8,New Mexico,New Mexico,General Population
Wrong track,Much better,Somewhat bad time,Very good time,Prices will go up, ,4,Prices will go down,10, ,Rates will remain about the same,Somewhat difficult,Live with someone else and don't pay for housing,Buy,Not at all concerned,Significantly higher now,18-20,18,18-20,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","Less than $10,000",Male, , ,.579541221748107,Jun-2022 (26724),Division 8,New Mexico,New Mexico,General Population
Wrong track,Somewhat worse,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Rent,Don't know VOL,Not at all concerned,Significantly lower now,50-54,50,50-54,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Male, , ,.427814392477001,Jun-2022 (26724),Division 8,New Mexico,New Mexico,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,8,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,65-69,69,65-69,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.164898752048106,Jun-2022 (26724),Division 8,New Mexico,New Mexico,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,65-69,65,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.956056213628243,Jun-2022 (26724),Division 8,New Mexico,New Mexico,General Population
Right track,Stay about the same,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,65-69,69,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,1.1839450036797,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Very difficult,Rent,Rent,Somewhat concerned,Significantly higher now,30-34,34,30-34,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$25,000-$34,999",Male, , ,2.09863417545418,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Much worse,Very bad time,Don't know VOL,Don't know VOL, , ,Prices will go up, , ,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy,Very concerned,About the same vs. twelve months ago,60-64,62,60-64,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.819029455958162,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Much worse,Very good time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, ,8,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,55-59,59,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.990646216725435,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,20,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,50-54,52,50-54,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.964604176859019,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go down,30, ,Prices will go up, ,20,Rates will go up,Somewhat difficult,Live with someone else and don't pay for housing,Buy,Not at all concerned,Significantly higher now,21-24,21,21-24,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$50,000-$74,999",Female, , ,.865611343676007,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Somewhat better,Somewhat good time,Very good time,Prices will go up, ,25,Prices will go up, , ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,55-59,55,55-59,Divorced,Black / African-American,"$35,000-$49,999",Female, , ,1.35317779586637,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat bad time,Prices will go up, ,8,Prices will go up, ,5,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,65-69,68,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.770264854076974,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat bad time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Very difficult,Rent,Rent, ,Significantly higher now,60-64,60,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Female, , ,1.33808065035558,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,70-74,74,70-74,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,.573333446779513,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,75,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.340615628776224,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Stay about the same,Very good time,Somewhat good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,60-64,60,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,1.12836140475241,Jun-2022 (26724),Division 8,Nevada,Nevada,General Population
Wrong track,Stay about the same,Very bad time,Very bad time,Prices will remain about the same, , ,Prices will go up, ,35,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Don't know VOL, ,Significantly higher now,Don't know VOL, ,Don't know,Single,Don't know VOL,"$15,000-$24,999",Female, , ,.163951520420797,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Very bad time,Don't know VOL,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,60,60-64,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Female, , ,1.97623009205882,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Much better,Somewhat bad time,Very good time,Prices will go down,20, ,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,25-29,25,25-29,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.522064488833541,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will remain about the same,Very difficult,Rent,Rent,Somewhat concerned,About the same vs. twelve months ago,40-44,42,40-44,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$15,000-$24,999",Male, , ,1.46793686944832,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will remain about the same,Very difficult,Rent,Rent, ,Significantly higher now,40-44,41,40-44,Single,Black / African-American,"$50,000-$74,999",Female, , ,1.05401357174223,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Very bad time,Somewhat good time,Prices will go down,15, ,Prices will go down,15, ,Rates will go up,Very difficult,Rent,Rent,Not at all concerned,About the same vs. twelve months ago,25-29,26,25-29,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,1.17432695724098,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat good time,Don't know VOL,Don't know VOL, , ,Prices will go up, ,5,Rates will go up,Very difficult,Rent,Don't know VOL, ,Significantly lower now,50-54,50,50-54,Don't know VOL,Don't know VOL,Don't know VOL,Female, , ,.125247836866128,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Much better,Somewhat bad time,Somewhat bad time,Prices will go up, ,5,Prices will go up, ,10,Rates will go up,Somewhat difficult,Rent,Buy, ,Significantly higher now,40-44,42,40-44,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","Less than $10,000",Female, , ,2.73263924516901,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat bad time,Very good time,Prices will go up, ,30,Prices will go up, ,25,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,100,75+,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.268572978768446,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Stay about the same,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Rent,Not at all concerned,About the same vs. twelve months ago,40-44,42,40-44,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$200,000+",Male, , ,.276836250215269,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go up, ,8,Prices will go up, ,8,Rates will remain about the same,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,21-24,22,21-24,Single,Other (DO NOT READ: include refused here),"$50,000-$74,999",Male, , ,1.29880449305246,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Somewhat worse,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,About the same vs. twelve months ago,45-49,46,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,.935908462050073,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Very good time,Somewhat good time,Prices will go down, , ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,Significantly higher now,30-34,32,30-34,Don't know VOL,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.984494569005961,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Very good time,Somewhat bad time,Prices will go up, ,5,Prices will go up, ,5,Don't know VOL,Somewhat difficult,Rent,Rent,Somewhat concerned,About the same vs. twelve months ago,25-29,28,25-29,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,1.52918486797204,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go up, ,2,Prices will go up, ,1,Rates will remain about the same,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,55,55-59,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Female, , ,2.84104338659068,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Much worse,Somewhat good time,Somewhat good time,Prices will go down, , ,Prices will go up, ,3,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,65-69,66,65-69,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,.491480528309464,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,3,Rates will go up,Very difficult,Rent,Rent,Very concerned,Significantly lower now,18-20,19,18-20,Single,Don't know VOL,"$25,000-$34,999",Male, , ,.124264325934701,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Somewhat good time,Somewhat good time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Somewhat difficult,Rent,Rent, ,Significantly higher now,75+,76,75+,Widowed,Black / African-American,"Less than $10,000",Female, , ,.517847986540545,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Somewhat bad time,Somewhat good time,Prices will go up, ,30,Prices will go up, ,30,Rates will go up,Somewhat difficult,Rent,Buy, ,About the same vs. twelve months ago,35-39,39,35-39,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$25,000-$34,999",Female, , ,2.34305173199713,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat good time,Don't know VOL, , ,Prices will go up, , ,Rates will remain about the same,Somewhat difficult,Rent,Rent, ,About the same vs. twelve months ago,75+,82,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.753555423449116,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Stay about the same,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go down,Very difficult,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,83,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Female, , ,.275529132503108,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Somewhat bad time,Somewhat bad time,Prices will go up, , ,Prices will go up, ,8,Rates will go up,Very difficult,Rent,Rent,Somewhat concerned,Significantly lower now,60-64,60,60-64,Other VOL,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","Less than $10,000",Female, , ,2.16229397496571,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, , ,Rates will go up,Very difficult,Rent,Rent, ,About the same vs. twelve months ago,70-74,71,70-74,Widowed,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$50,000-$74,999",Male, , ,.487616409665377,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Very bad time,Very bad time,Prices will go up, ,8,Don't know VOL, , ,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy,Not very concerned,About the same vs. twelve months ago,55-59,59,55-59,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Female, , ,.338657242808076,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much better,Very bad time,Somewhat good time,Don't know VOL, , ,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Rent,Rent,Not very concerned,About the same vs. twelve months ago,50-54,52,50-54,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$10,000-$14,999",Male, , ,.691302409329443,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will go up,Very difficult,Rent,Rent, ,About the same vs. twelve months ago,75+,79,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.871954263701721,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Somewhat better,Very bad time,Somewhat good time,Prices will go down,15, ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,55-59,59,55-59,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$150,000-$199,999",Male, , ,.434355326192124,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Very bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,10,Don't know VOL,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,65-69,67,65-69,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,1.13186994961455,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat bad time,Don't know VOL,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Somewhat difficult,Live with someone else and don't pay for housing,Buy,Somewhat concerned,About the same vs. twelve months ago,21-24,24,21-24,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.628334563451814,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat good time,Somewhat good time,Prices will go down,3, ,Prices will go up, ,2,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,35-39,35,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,6.41933201673622,Jun-2022 (26724),Division 9,California,California,General Population
